fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,02,ANDHRA PRADESH,0210,CHITTOOR,2381310,249.764559590158,33,1454,3393.815333149,5674,0,39617,3165892,1074358,107437,121977,12604,686.95311,11988.0446540491,95294,139565,199006,366167,832,258832,462635,45291,7907.27621090006,2016189,61,62.64,30.62,99.99,NA
2024-2025,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5746950,262.698530242844,40,3513,4307.724374886,4353,1,40443,7114393,1278111,94802,286495,17508,818.63383,23815.7640515858,175635,297099,253634,474307,1885,312521,575747,44796,18689.4058466998,3972766,49,33.12,59.53,99.96,NA
2024-2025,July,02,ANDHRA PRADESH,0213,KURNOOL,2862405,292.435933684742,27,2269,3062.220639655,4071,2,38894,4749103,951085,104982,75550,6850,771.11444,17721.4187793551,171059,290779,252269,492119,481,325435,614714,42965,13888.0836997001,2611383,41,53.87,39.89,99.97,NA
2024-2025,July,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,4345725,257.554016501691,37,2588,4127.369970439,7077,0,30791,4623526,727330,63377,340903,24595,473.30203,16508.748917439,123763,207447,209759,395988,1841,265171,488441,37868,11908.076917,2525111,61,34.68,59.24,99.93,NA
2024-2025,Aug,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1133698,292.239345222104,44,208,315.14175448,944,1,5053,1126886,85627,4335,10861,495,184.83628,3793.18230227956,25543,35094,31328,49652,448,35807,55014,5997,3293.20426779956,820539,60,3.08,95.16,100,NA
2024-2025,Aug,02,ANDHRA PRADESH,0206,KRISHNA,5969827,260.961204078206,42,2131,2079.768423758,10007,0,38693,5931143,2251721,119769,101081,5561,608.32686,18166.0774721582,139717,239194,174896,321837,5527,213578,377060,48700,15477.9821884002,3192013,29,85.06,6.99,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0216,KONASEEMA,4498555,291.530980137049,37,2608,1799.66202495,2256,1,22411,4369491,2140256,116825,38198,2280,364.6345,14902.7164642501,116628,163209,151063,249302,1165,225773,348314,24667,12738.4199393001,2737668,37,90.06,3.42,100,NA
2024-2025,Aug,02,ANDHRA PRADESH,0219,BAPATLA,5468600,266.16704194021,33,2023,1695.728550438,4391,3,34563,5316211,1889655,137851,205271,14621,392.36754,16238.0976524381,158984,270612,207934,384890,1141,260457,458624,38954,14150.0015620001,2885271,24,74.57,20.7,100,NA
2024-2025,Aug,02,ANDHRA PRADESH,0223,ANNAMAYYA,5773446,258.273994307867,45,1322,2751.184070478,6521,1,33237,5477034,1150519,67885,233378,13006,529.54779,17426.4863418779,120794,176584,198418,339192,2501,243959,406156,39758,14145.7544813999,3230910,59,40.14,53.98,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,10027422,249.710244152805,58,3940,5100.079876327,3836,1,40046,10024256,1179899,45801,3934433,135806,461.78436,30593.4583684292,171288,289833,192817,373669,12644,210821,399361,43882,25031.5941321022,5852870,72,38.31,54.91,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1133698,292.024774025681,44,212,315.14175448,981,0,5138,1140528,87593,4337,11008,496,189.71324,3835.47930917962,25838,35512,31342,49663,481,35790,54992,6119,3330.62431469962,830240,60,3.5,94.18,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0205,WEST GODAVARI,3109266,268.458064400179,31,1253,1971.811717638,3378,8,25777,2968408,865273,63485,25174,1765,323.68415,10264.4265279381,94959,135999,135240,231718,967,179394,294239,29155,7968.93066030008,1654091,44,84.5,3.56,99.94,NA
2024-2025,Aug,02,ANDHRA PRADESH,0207,GUNTUR,2296306,251.499140129498,33,624,1362.762908029,2265,13,16527,2115272,925614,71612,65541,5600,338.18302,7020.83681942903,62904,100397,89997,157195,310,133626,223642,18792,5319.89089140003,1231082,46,91.1,2.94,99.97,NA
2024-2025,Aug,02,ANDHRA PRADESH,0213,KURNOOL,4895797,292.345080780105,28,2294,3105.686109655,4794,2,39270,4970469,990153,104876,77878,6847,918.8908,18555.4985228551,173584,295500,252571,492597,683,325870,615536,44064,14530.9216132001,2731137,42,53.61,38.86,99.95,NA
2024-2025,Aug,02,ANDHRA PRADESH,0216,KONASEEMA,4498555,291.330500115627,37,2612,1799.66202495,2407,1,22453,4415159,2159627,116861,38754,2283,364.6345,15027.0013205501,117120,163839,151165,249457,1499,225992,348604,24860,12862.7047956001,2764756,38,89.73,3.38,99.98,NA
2024-2025,Aug,02,ANDHRA PRADESH,0221,NANDYAL,4694327,240.573309705686,32,1753,2833.948348254,5109,2,34872,4722716,1372909,110822,212835,13190,554.01185,14749.554387454,145953,243672,206181,395413,405,259423,483071,39981,11361.5941892,2812409,43,63.31,29.45,99.97,NA
