fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Feb,02,ANDHRA PRADESH,0206,KRISHNA,6599248,261.450329527084,45,2184,7131.074850354,26627,0,27300,6506931,2452395,120313,111576,5594,1271.07018,25414.537571954,143938,246521,176603,324968,9427,217079,383279,53927,17012.3925416,3521854,31,53.96,4.06,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0208,PRAKASAM,12371485,209.459639984183,41,4162,10457.159444624,10883,1,39891,12085880,2882374,201405,380040,22047,2093.2638,37865.4639815444,288850,493324,383219,728819,5371,448794,826543,50774,25315.0407369204,6879414,35,11.09,53.7,99.96,NA
2024-2025,Feb,02,ANDHRA PRADESH,0211,Y.S.R,7201919,260.221721993094,46,2217,9182.883920844,11913,1,34085,6787594,1428637,79595,95544,5392,1981.64531,28827.3232195439,145039,229611,191921,356269,6291,242560,444555,45998,17662.7939886999,4351819,45,30.18,43.96,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0215,ANAKAPALLI,10669228,285.547670045125,52,3666,6371.663860405,12044,0,34625,10837888,909846,34874,447266,16839,1071.31176,38390.3122865052,206356,299454,238597,389790,14488,286317,450946,46669,30947.3366661002,7401075,59,16.21,55.26,99.97,NA
2024-2025,Feb,02,ANDHRA PRADESH,0205,WEST GODAVARI,3772760,268.488733585877,34,1331,4159.440466686,7754,4,23942,3385575,979168,63869,29447,1787,654.67327,13904.001178786,99516,142796,136704,234150,2431,181877,298656,31696,9089.88744210004,1879769,47,65.3,2.96,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0206,KRISHNA,6599248,261.844510482705,45,2183,7131.074850354,26625,0,27224,6489403,2445569,120285,111240,5592,1271.07018,25394.290548954,143879,246404,176575,324912,9315,217022,383171,53849,16992.1455186,3512480,31,53.91,4.06,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0211,Y.S.R,7201919,260.152682317511,46,2216,9182.883920844,11913,1,34060,6783276,1427787,79596,95521,5391,1981.64531,28811.403693844,144999,229534,191907,356233,6272,242516,444458,45973,17646.874463,4349432,45,30.17,43.96,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1225268,290.5103258681,46,220,682.955096805,2060,0,4611,1237832,96000,4349,12800,496,332.91246,4611.89733370463,26504,36524,31505,49872,1739,36046,55302,6671,3596.02977689963,902398,60,5.97,81.42,100,NA
2024-2025,Dec,02,ANDHRA PRADESH,0205,WEST GODAVARI,3568020,268.390788579451,33,1307,4147.210016686,6959,4,23931,3244467,943150,63619,28271,1766,543.89038,13398.9509631861,98139,140670,136126,232967,1756,180454,295981,30890,8707.85056650007,1803330,46,71.91,3.14,99.98,NA
2024-2025,Dec,02,ANDHRA PRADESH,0207,GUNTUR,2603780,252.689020641643,34,629,1827.124860579,3971,12,16014,2239405,974254,71732,70673,5636,572.19602,8058.05144327898,64710,103020,90639,158168,650,134581,225201,19985,5658.73056269998,1313999,49,87.71,2.77,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0213,KURNOOL,5877337,291.397803805414,33,2536,6657.102278951,8926,5,41984,6414377,1268625,106426,115733,7209,1456.14272,26804.5987047506,193388,332187,259224,505484,3360,332921,630164,50910,18691.3537057996,3489976,44,48.19,31,99.97,NA
2024-2025,Dec,02,ANDHRA PRADESH,0219,BAPATLA,5907737,266.205785023404,34,2109,3589.480400145,11696,2,29915,5722409,2012080,139318,221058,14899,612.7453,19435.6095008449,165392,281378,211886,391815,1834,266973,470321,41611,15233.3838006999,3101989,25,66.44,18.05,99.98,NA
2024-2025,Dec,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5672469,259.019965440666,49,3466,11128.702647686,12370,0,34778,8235981,1235738,65620,523026,25519,849.04182,33310.5796075858,166058,286000,223175,421509,11187,279441,516220,47148,21332.8351398998,4456397,61,33.36,42.19,99.95,NA
2024-2025,Dec,02,ANDHRA PRADESH,0224,TIRUPATI,6842512,266.841895472811,50,2409,3724.929204232,13115,2,30218,8364235,3256008,153960,663987,32808,938.21486,26982.4272800323,166032,248297,224906,399978,20118,274072,473387,43333,22319.2832158003,5443718,41,26.81,65.23,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0226,KAKINADA,5172632,248.684536368608,38,3214,3733.145478673,10672,0,25245,5924642,1678734,93982,163100,8601,635.03162,19101.8455878728,154131,216854,207724,352274,3806,288440,470608,35917,14733.6684891998,2928255,51,47.46,30.16,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0204,EAST GODAVARI,4024486,253.498317256262,45,1886,4673.151842761,8100,0,21114,4343662,1619935,71457,89468,3216,589.07783,16273.3397500607,94842,124728,124164,198180,4664,165652,255244,29214,11011.1100772997,2380320,54,43.17,31.28,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0208,PRAKASAM,11892374,208.772880121509,41,4098,10345.309354624,8596,3,40007,11801141,2812820,201367,371161,21936,1794.13898,36777.0302875242,285187,486388,382529,727641,4610,447251,823531,48603,24637.5819529002,6724660,34,10.66,67.27,99.96,NA
2024-2025,Dec,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,11248066,260.062955135636,64,4139,30414.295312594,15713,2,59396,13414012,258427,9953,12360337,409605,1085.78479,66384.9561120429,206637,368826,228855,448087,42200,245977,472760,75109,34884.8760094489,7029580,80,55.42,15.64,99.98,NA
2024-2025,Dec,02,ANDHRA PRADESH,0216,KONASEEMA,5188267,290.662593942897,41,2665,4106.784468474,6816,0,23066,5061692,2443859,117214,45646,2311,630.62973,19449.8594630741,121394,169982,153053,252033,6562,229291,353104,29882,14712.4452646001,3148119,40,81.71,2.72,100,NA
2024-2025,Dec,02,ANDHRA PRADESH,0217,ELURU,10289334,250.081939651983,42,3276,6177.543795297,8564,3,37663,10276328,3452354,205495,1166623,53483,806.54585,32683.3300326968,243052,392529,318594,589508,9939,373686,672534,46227,25699.2403873998,6003508,49,39.34,43.55,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0205,WEST GODAVARI,3568020,268.475116430978,33,1307,4147.260976686,7133,4,23821,3247117,943739,63624,28338,1766,543.89038,13408.8525030861,98184,140742,136141,232986,1763,180492,296043,30954,8717.70114640007,1805024,46,71.64,3.13,99.98,NA
2024-2025,Dec,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,11248066,260.308749560998,65,4150,30414.295312594,17081,2,58219,13519544,260675,9960,12457269,410041,1085.78479,66692.6360353429,207316,369967,229111,448539,43202,246067,472923,75300,35192.5559327489,7084787,80,55.33,15.59,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0217,ELURU,10289334,250.031237965499,42,3279,6177.543795297,8719,3,37601,10302048,3461668,205487,1170189,53487,806.54585,32742.4277954969,243336,393018,318629,589570,10074,373715,672600,46320,25758.3381501999,6018984,49,38.76,42.67,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0218,NTR,6594264,258.586720595577,46,2351,3078.24686999,11771,2,20679,6664415,2556318,122020,529212,23232,482.69775,20794.2368153697,144496,240623,174372,319559,6814,210202,376907,32450,17233.2921953797,3896230,37,62.97,17.82,99.98,NA
2024-2025,Dec,02,ANDHRA PRADESH,0219,BAPATLA,5907737,266.192287883821,34,2111,3589.480400145,11783,2,29854,5730256,2015263,139319,221447,14907,612.7453,19455.7252481449,165508,281579,211897,391847,1842,266983,470341,41637,15253.4995479999,3106038,25,66.38,18,99.98,NA
2024-2025,Dec,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1225268,290.489479438886,46,219,682.955096805,2067,0,4612,1238894,96137,4351,12824,496,332.91246,4614.7242882046,26512,36536,31506,49874,1748,36049,55307,6679,3598.8567313996,903254,60,5.98,81.09,100,NA
2024-2025,Dec,02,ANDHRA PRADESH,0205,WEST GODAVARI,3568020,268.529150389636,33,1307,4147.260976686,7189,4,23792,3250490,944697,63623,28343,1768,543.89038,13419.6645371861,98226,140794,136160,233020,1782,180526,296114,30981,8728.51318050007,1806966,46,71.57,3.12,99.98,NA
2024-2025,Dec,02,ANDHRA PRADESH,0209,NELLORE,5842332,252.591985718112,39,2052,7694.845314903,15480,1,45303,8259551,2303793,140054,422434,29711,1322.5367,29880.3458972032,210180,309940,277496,482025,2250,356749,602129,60783,20862.9638823002,5189379,40,37.85,40.64,99.97,NA
2024-2025,Dec,02,ANDHRA PRADESH,0211,Y.S.R,6732278,260.153501826517,45,2192,9072.526170844,11457,3,33747,6515951,1365594,79362,92468,5388,1664.4761,27688.476974644,142977,225877,191388,354946,5225,241569,442213,45204,16951.4747038,4169809,45,31.01,51.55,99.99,NA
2024-2025,Jan,02,ANDHRA PRADESH,0201,SRIKAKULAM,16586834,253.074557250256,51,6576,9417.884577594,19198,0,40876,16952839,1567187,60667,1254089,39531,2281.22509,54602.4319081927,327786,475204,382835,670218,23483,437036,742547,60074,42903.3222405987,11926251,48,16.93,63.41,99.97,NA
2024-2025,Jan,02,ANDHRA PRADESH,0206,KRISHNA,6376948,261.35372560159,43,2155,7115.177030354,26301,0,27079,6215262,2340011,119975,107200,5577,1178.97357,24537.9693932539,142170,243207,176031,323623,8489,216225,381425,53380,16243.8187928999,3363315,31,55.77,4.3,99.99,NA
2024-2025,Jan,02,ANDHRA PRADESH,0204,EAST GODAVARI,4258985,254.41611689433,47,1910,4686.291812761,8827,0,21496,4571941,1691507,71634,93050,3226,642.24564,16960.2922116608,96585,127261,125061,199546,6246,166466,256624,30323,11631.7547588998,2500017,54,38.63,26.46,99.99,NA
2024-2025,Jan,02,ANDHRA PRADESH,0208,PRAKASAM,12081428,209.079950469044,41,4114,10405.658104624,9922,3,39724,11895752,2835358,201060,373822,21965,1950.64037,37227.9308641443,286175,488256,382599,727312,4937,447823,824258,49646,24871.6323895203,6775954,35,10.58,56.35,99.96,NA
2024-2025,Jan,02,ANDHRA PRADESH,0209,NELLORE,5959747,251.517632073877,40,2068,7726.120594903,15765,0,46836,8487144,2359028,140349,439210,29845,1429.39447,30502.1786844031,212092,313175,278280,483451,3152,357299,603264,62601,21346.6636195001,5323933,41,35.92,36.62,99.98,NA
2024-2025,Jan,02,ANDHRA PRADESH,0210,CHITTOOR,5450635,258.715087603552,50,1752,7892.640712738,13546,0,46909,7272593,2088855,112190,291502,13760,1433.77002,28141.7060837378,145365,227089,215514,397884,8723,273064,490327,60455,18815.2953509998,4430432,64,54.07,21.77,99.97,NA
2024-2025,Jan,02,ANDHRA PRADESH,0212,ANANTAPUR,8715535,262.707223997284,46,3908,10989.611306529,10557,0,44830,9353743,1656607,94759,363686,17390,1710.56603,37273.1359116693,201571,343969,259092,485471,12624,317240,588146,55387,24572.9585751403,5213585,51,31.61,41.93,99.96,NA
2024-2025,Jan,02,ANDHRA PRADESH,0216,KONASEEMA,5293887,291.096536967775,42,2676,4122.486895974,8105,0,22951,5225822,2518860,117260,47318,2312,691.37113,20026.0448960741,122214,171210,153469,252605,7825,229929,354043,31056,15212.1868701001,3251434,40,72.18,2.28,100,NA
2024-2025,Jan,02,ANDHRA PRADESH,0218,NTR,6914534,258.487518269748,46,2357,3091.32345999,12535,2,20399,6733972,2579746,122249,535770,23283,532.33827,21030.1388337697,145105,241708,174610,320399,7198,211102,379047,32934,17406.4771037797,3934620,37,56.44,15.68,99.98,NA
2024-2025,Jan,02,ANDHRA PRADESH,0219,BAPATLA,6005608,266.008299833554,35,2128,3610.593310145,12124,2,30303,5884765,2055200,139403,227646,14956,680.61061,19945.167245845,167304,284747,212257,392439,2923,267511,471310,42427,15653.9633257,3187147,26,60.59,16.37,99.97,NA
2024-2025,Jan,02,ANDHRA PRADESH,0220,PALNADU,6332917,248.073847164034,34,2218,4057.708380451,6655,4,30975,6646302,1677096,121903,591312,41839,709.06016,21254.5056059911,192813,324124,262550,470166,4473,335100,575940,37630,16487.7370655401,3531831,26,61.96,14.93,99.94,NA
2024-2025,Jan,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5988275,258.603798087276,50,3485,11183.263677686,12901,0,35331,8469808,1270420,65769,532414,25567,932.1795,34018.6883563859,167948,289506,224013,423219,12263,280681,518860,48232,21903.2451786999,4581042,61,31.45,37.53,99.96,NA
2024-2025,Feb,02,ANDHRA PRADESH,0204,EAST GODAVARI,4530115,254.274267197926,47,1911,4699.028502761,8967,0,21417,4587296,1695240,71650,93358,3227,673.09651,17036.4383009608,96730,127462,125133,199661,6324,166611,256874,30384,11664.3132881998,2508522,54,38.01,25.89,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0212,ANANTAPUR,9031334,263.293041121483,46,3910,11056.328266529,10611,0,44936,9373471,1659715,94772,363962,17397,1828.27992,37564.3050410693,201811,344418,259134,485598,12685,317434,588588,55547,24679.6968545403,5224561,51,31.44,41.47,99.96,NA
2024-2025,Feb,02,ANDHRA PRADESH,0215,ANAKAPALLI,10669228,288.735121328833,50,3613,6368.115940405,11509,0,34549,10303734,857750,34777,430319,16796,1040.63016,37159.2449667052,203895,295034,237588,388221,12580,286001,450329,46058,29750.4988663002,7005057,59,15.88,56.21,99.97,NA
2024-2025,Feb,02,ANDHRA PRADESH,0217,ELURU,11221072,250.149700783943,42,3300,6222.971335297,9540,3,37519,10515612,3534690,205530,1187947,53458,922.58113,33450.3244188974,245062,396121,318935,590157,11045,374588,674317,47059,26304.7719536004,6147709,49,36.32,38.53,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0223,ANNAMAYYA,7345203,259.326976480019,51,1515,5786.878639934,15913,0,32536,7599879,1512062,68352,295612,12915,1057.38503,26552.8000967739,146303,218948,204285,351346,9587,249260,418411,48449,19708.5364268399,4434050,61,42.83,39.7,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0206,KRISHNA,6599248,261.022970545116,43,2158,7129.319840354,26334,0,27279,6276922,2363978,120064,108174,5585,1224.12792,24737.6560235539,142805,244262,176248,324043,8834,216456,381911,53613,16384.2082631999,3396277,31,54.09,4.13,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0210,CHITTOOR,5782246,258.850448547137,50,1756,7920.411532738,13574,0,47099,7324024,2100436,112242,292858,13761,1517.20314,28395.883648438,145824,227932,215696,398241,9068,273229,490649,60673,18958.2689757,4460361,64,54.02,21.58,99.97,NA
2024-2025,Feb,02,ANDHRA PRADESH,0211,Y.S.R,7201919,260.24976839464,46,2202,9181.010040844,11788,1,33978,6621997,1389862,79406,93577,5382,1951.11582,28365.857716444,143732,227259,191563,355410,5780,242089,443404,45766,17233.7318556,4239767,45,30.23,44.74,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0213,KURNOOL,6781463,288.586364131501,35,2627,6744.885348951,10148,5,43469,7241351,1417868,107295,128241,7354,1684.08959,29326.5265038511,201228,347638,262456,512155,4671,336732,638445,53617,20897.5515649001,3917353,44,46.59,27.45,99.98,NA
2024-2025,Feb,02,ANDHRA PRADESH,0215,ANAKAPALLI,10669228,288.763585134934,50,3613,6368.115940405,11629,0,34458,10305799,858005,34781,430497,16801,1040.63016,37168.1407696052,203903,295049,237590,388245,12580,286034,450415,46087,29759.3946692002,7006411,59,15.88,56.21,99.97,NA
2024-2025,Feb,02,ANDHRA PRADESH,0221,NANDYAL,6316456,246.680527644709,37,1960,6060.732171807,11910,2,37486,6074163,1673446,112267,278114,13478,1044.63362,22089.1431302067,161544,271804,211300,405023,4455,266399,496931,49396,14983.7773383997,3593752,47,45.26,19.9,99.98,NA
2024-2025,Feb,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1337208,285.242266755724,50,238,688.790726805,2344,0,4525,1375393,107166,4342,14332,496,404.12049,5016.11338680456,27176,37657,31643,50085,2314,36196,55541,6869,3923.20216999956,1009265,60,6.71,72.9,100,NA
2024-2025,Feb,02,ANDHRA PRADESH,0208,PRAKASAM,12371485,209.311556037565,41,4164,10457.159444624,10928,1,39898,12099902,2885285,201391,380414,22047,2093.2638,37876.9163998444,288988,493585,383246,728841,5383,448903,826726,50826,25326.4931552205,6886801,35,11.11,53.69,99.96,NA
2024-2025,Feb,02,ANDHRA PRADESH,0220,PALNADU,6791709,248.231597441798,35,2256,4074.220190451,7265,4,31049,6865755,1719892,122238,612233,42076,752.77069,21869.9641933911,195558,328816,263860,472522,5397,337538,580392,38314,17042.9733129401,3640690,26,57.33,13.4,99.94,NA
2024-2025,Feb,02,ANDHRA PRADESH,0201,SRIKAKULAM,17290133,250.341306406165,54,6662,9480.015817594,20157,0,42588,18143760,1708078,60885,1365750,39742,2468.36416,57369.7057927933,331806,483759,384198,672478,29198,437897,744148,62745,45421.3258151993,12834704,49,17.32,58.47,99.98,NA
2024-2025,Feb,02,ANDHRA PRADESH,0204,EAST GODAVARI,4530115,254.171942407881,48,1935,4699.028502761,9735,0,21230,4770167,1754301,71822,96721,3229,691.55081,17515.0054327608,98101,129510,125677,200543,7515,167273,257951,30965,12124.4261199998,2611081,54,36.93,24.43,100,NA
2024-2025,Feb,02,ANDHRA PRADESH,0210,CHITTOOR,5782246,259.042883688814,51,1783,7920.570182738,14530,0,47589,7673699,2184265,112691,304287,13811,1558.45804,29357.1993979377,149154,233713,217061,400858,10588,274118,492446,62119,19878.1711751997,4670715,64,53.28,21.2,99.98,NA
2024-2025,Feb,02,ANDHRA PRADESH,0215,ANAKAPALLI,10669228,284.007998232567,53,3680,6371.663860405,12287,0,34535,11064612,931479,34902,454713,16843,1071.31176,38867.3586738053,207077,300841,238831,390193,15512,286499,451320,46822,31424.3830534004,7567222,58,16.29,55,99.98,NA
2024-2025,Feb,02,ANDHRA PRADESH,0210,CHITTOOR,5782246,258.973068453378,51,1799,7920.570182738,14619,0,47589,7693221,2189265,112713,304676,13812,1558.45804,29402.3987093377,149305,233987,217108,400961,10708,274193,492607,62208,19923.3704865997,4682196,64,53.27,21.19,99.98,NA
2024-2025,Feb,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,12322469,261.23510817995,69,4296,30492.282442594,19970,2,58592,14811493,281601,9988,13668411,412890,1268.90441,70454.0066142097,211911,379775,230779,451580,54066,249745,479412,78562,38692.8197616157,7767107,80,53.47,14.55,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0224,TIRUPATI,7202364,267.157093071279,53,2476,3783.630174232,14961,1,31309,9123416,3523980,154128,725181,32943,1110.84024,29268.3233886319,169790,255743,225774,401340,26481,274559,474231,46270,24373.8529743999,5933547,41,26.19,54.58,99.99,NA
2024-2025,Jan,02,ANDHRA PRADESH,0201,SRIKAKULAM,16586834,252.704681809228,51,6568,9417.884577594,19083,0,39530,16861300,1557596,60676,1243042,39561,2280.34717,54307.5262614933,327408,474439,382749,670133,22200,436323,741587,58613,42609.2945138993,11857993,48,17.01,66.63,99.88,NA
2024-2025,Jan,02,ANDHRA PRADESH,0211,Y.S.R,6858858,260.171819314568,45,2194,9128.001970844,11761,2,33553,6535989,1370535,79360,92796,5372,1824.96776,27957.771222344,143120,226147,191379,354962,5333,241616,442361,45314,17004.8014915,4183716,45,31.13,50.61,99.99,NA
2024-2025,Jan,02,ANDHRA PRADESH,0212,ANANTAPUR,8715535,262.735667704459,45,3883,10989.611306529,10161,0,43912,9090450,1617320,94676,354602,17343,1709.45291,36582.918721369,198992,339276,258278,483820,11913,316172,585821,54073,23883.85450484,5063443,51,32.29,44.7,99.95,NA
2024-2025,Jan,02,ANDHRA PRADESH,0217,ELURU,10602057,250.039503314356,42,3282,6201.668805297,8967,3,37546,10352081,3477711,205485,1174019,53429,880.57453,32966.5352503968,243739,393743,318694,589680,10399,373881,672934,46513,25884.2919150998,6049505,49,37.81,41.27,99.97,NA
2024-2025,Jan,02,ANDHRA PRADESH,0220,PALNADU,6332917,247.416283370085,33,2206,4057.708380451,6319,4,30775,6483472,1647084,121724,576546,41660,709.06016,20807.9339961911,190991,320977,261618,468606,3396,333519,573225,37094,16041.1654557401,3451399,26,69.03,17.13,99.93,NA
2024-2025,Jan,02,ANDHRA PRADESH,0224,TIRUPATI,6988389,266.492545732127,50,2423,3752.034564232,13766,2,30145,8481729,3298267,153982,673949,32821,1020.18336,27375.3934584321,166597,249396,225015,400167,21172,274104,473498,43911,22603.1755342001,5520223,41,27.13,63.85,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0220,PALNADU,6791709,248.686605362915,34,2248,4074.220190451,7142,4,31041,6830131,1711982,122175,608987,42060,752.77069,21812.6118061911,195237,328255,263680,472221,5155,337139,579668,38183,16985.6209257401,3623072,26,58.33,13.65,99.94,NA
2024-2025,Feb,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,11029083,249.542259583153,64,4033,11636.884394818,12948,1,35955,11339874,1318920,45158,4801952,136211,947.46227,40882.1244783005,176106,301055,192884,371626,28578,212896,401455,48903,28297.7778134825,6605323,73,35.57,42.08,100,NA
2024-2025,Feb,02,ANDHRA PRADESH,0219,BAPATLA,6156738,266.053527348897,36,2159,3631.608140145,12633,1,30606,6186703,2135386,139780,239078,15081,744.98633,20836.536028245,170703,290771,213244,394626,3686,268984,474364,43239,16459.9415581,3344639,26,58.82,15.5,99.98,NA
2024-2025,Feb,02,ANDHRA PRADESH,0202,VIZIANAGARAM,16250952,227.507664495439,52,7446,7228.397722615,14504,1,39942,16129992,1929827,74390,482549,18017,1942.92562,45868.2914251162,309171,467226,352122,641304,13985,387045,690163,54446,36696.9680825012,11102113,48,9.95,69.94,100,NA
2024-2025,Feb,02,ANDHRA PRADESH,0208,PRAKASAM,12371485,209.670978052572,42,4193,10457.159444624,11173,1,40083,12321579,2936841,201651,386716,22088,2093.2638,38385.1984454444,291106,497693,383719,729863,6799,449363,827777,51256,25834.7752008204,7009150,35,11.46,53.33,99.97,NA
2024-2025,Feb,02,ANDHRA PRADESH,0209,NELLORE,6134899,250.126905872145,42,2103,7755.848994903,17748,0,47621,9156981,2540596,141221,475257,30207,1534.16299,32194.0852315032,216833,321644,280110,487049,4823,358412,605878,65369,22904.0732466002,5747245,41,36.16,34.68,99.98,NA
2024-2025,Feb,02,ANDHRA PRADESH,0210,CHITTOOR,5782246,259.074645070061,52,1803,7920.570182738,14761,0,47946,7823854,2220201,112804,307940,13819,1558.45804,29748.6502040378,150227,235622,217452,401602,12166,274351,492950,62707,20269.6219812998,4762227,64,53.37,21.18,99.98,NA
2024-2025,Feb,02,ANDHRA PRADESH,0226,KAKINADA,5624162,250.081834820869,42,3316,3784.606828673,11337,0,27024,6846870,1927268,94649,192257,8743,754.30357,21661.6885224726,161459,228784,210298,356949,6396,291381,476109,38361,17122.7781237996,3395233,51,43.18,25.66,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0208,PRAKASAM,12371485,209.53882445931,42,4193,10457.159444624,11172,1,40078,12319793,2936326,201651,386716,22088,2093.2638,38365.1726726444,291100,497683,383719,729860,6786,449326,827700,51250,25814.7494280204,7008091,35,11.45,53.34,99.97,NA
2024-2025,Feb,02,ANDHRA PRADESH,0217,ELURU,11221072,250.358391573863,44,3390,6223.447285297,10397,3,37867,11211494,3767171,206204,1243412,53572,955.50054,35247.8638750971,251507,407689,320451,593169,12850,376382,678013,48264,28068.9160498001,6576005,49,36.9,37.33,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0221,NANDYAL,6316456,247.10458171002,39,2023,6060.732171807,12995,2,37782,6570920,1786534,112806,304253,13589,1082.77742,23380.553972307,166499,281159,213063,408725,5973,268013,500406,50777,16237.0443805001,3874856,47,44.9,20.16,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,6227378,258.583010148891,51,3523,11237.511527686,13963,0,35467,8808644,1316594,65960,547077,25663,1016.92231,35032.0906461856,170647,294535,225108,425303,14334,281785,521226,49430,22777.6568084996,4766400,61,31.99,35.54,99.97,NA
2024-2025,Feb,02,ANDHRA PRADESH,0224,TIRUPATI,7202364,266.385518688178,54,2490,3783.630174232,15060,1,32002,9265885,3577255,154186,735977,32986,1110.84024,29577.446232532,170424,257007,225961,401630,27823,274603,474302,47062,24682.9758183,6025959,41,25.95,53.41,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0226,KAKINADA,5624162,249.718483410058,42,3315,3784.606828673,11337,0,27013,6840834,1925926,94641,192251,8738,754.30357,21621.7373160726,161367,228646,210278,356911,6386,291353,476046,38350,17082.8269173996,3392247,51,43.25,25.67,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0202,VIZIANAGARAM,16250952,228.113850429501,51,7439,7228.397722615,14401,1,39881,15829003,1888391,74378,475481,18007,1942.92562,45279.4715705163,308675,465933,352015,641157,13051,387056,690196,54282,36108.1482279013,10873260,47,9.83,70.02,100,NA
2024-2025,Feb,02,ANDHRA PRADESH,0210,CHITTOOR,5782246,259.100461893473,51,1796,7920.570182738,14671,0,47719,7748345,2202594,112773,305798,13821,1558.45804,29555.0259068378,149796,234810,217296,401313,11142,274271,492783,62390,20075.9976840998,4715840,64,53.3,21.15,99.97,NA
2024-2025,Feb,02,ANDHRA PRADESH,0211,Y.S.R,7201919,260.281797238086,47,2228,9182.883920844,11943,1,34270,6901306,1456195,79684,97121,5397,1981.64531,29127.3725205439,145900,231186,192118,356719,6751,242780,445072,46213,17962.8432896999,4428649,44,30.25,43.87,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0223,ANNAMAYYA,7345203,259.282309030009,53,1536,5788.313159934,17577,0,32437,7990855,1577899,68640,309120,13002,1088.07165,27595.2581651739,149580,224663,205624,354007,11281,250369,420766,50014,20718.8733552399,4663486,61,43.71,37.72,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0204,EAST GODAVARI,4530115,254.256042535957,49,1941,4699.028502761,9983,0,21244,4848039,1778060,71876,98010,3228,692.96081,17718.4214147608,98610,130310,125871,200827,8330,167608,258510,31227,12326.4321019998,2654825,54,36.86,24.3,100,NA
2024-2025,Feb,02,ANDHRA PRADESH,0206,KRISHNA,6599248,262.247488545271,46,2199,7131.074850354,26887,0,27235,6784534,2557048,120519,116113,5629,1271.69418,26195.039054854,145277,249120,177099,325756,11090,217516,384134,54122,17792.2700245,3669911,31,54.61,4.09,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0207,GUNTUR,2713842,252.378549897705,35,640,1846.090320579,4698,12,16081,2411223,1050480,72109,76194,5665,677.39975,8608.89971277894,67039,106904,91287,159363,969,135575,227049,20779,6085.40964219994,1415819,48,76.46,2.21,99.99,NA
2024-2025,Feb,02,ANDHRA PRADESH,0208,PRAKASAM,12371485,209.748261981355,42,4198,10457.159444624,11213,1,40091,12337214,2939612,201662,386841,22097,2093.2638,38427.5151865444,291257,497983,383748,729938,6883,449410,827895,51304,25877.0919419204,7017804,35,11.45,53.19,99.97,NA
